[session]   Check EBGP sessions with DUT (wait up to 10 seconds) [ node(s): r1,r2,r3,r4 ]
[WAITING]   Waiting for BGP sessions to start (retrying for 10 seconds)
[PASS]      r1: Neighbor 10.1.0.1 (dut) is in state Established
[PASS]      r2: Neighbor 10.1.0.5 (dut) is in state Established
[PASS]      r4: Neighbor 10.1.0.13 (dut) is in state Established
[PASS]      r3: Neighbor 10.1.0.9 (dut) is in state Established
[PASS]      Succeeded in 9.6 seconds
[PASS]      Test succeeded

[pfx_red]   Check BGP prefix on R1 [ node(s): r1 ]
[PASS]      r1: The prefix 10.0.0.12/32 is in the BGP table
[PASS]      Test succeeded

[pfx_red_c] Check connected subnet as BGP prefix on R1 [ node(s): r1 ]
[PASS]      r1: The prefix 10.1.0.4/30 is in the BGP table
[PASS]      Test succeeded

[pfx_blue]  Check BGP prefix on R3 [ node(s): r3 ]
[WAITING]   Waiting for BGP convergence (retrying for 15 seconds)
[PASS]      r3: The prefix 10.0.0.24/32 is in the BGP table
[PASS]      Succeeded in 1.2 seconds
[PASS]      Test succeeded

[red]       Ping-based reachability test in VRF red [ node(s): r1 ]
[PASS]      r1: Ping to r2 succeeded
[PASS]      Test succeeded

[blue]      Ping-based reachability test in VRF blue [ node(s): r3 ]
[PASS]      r3: Ping to r4 succeeded
[PASS]      Test succeeded

[inter_vrf] Ping-based isolation test between blue and red VRF [ node(s): r1 ]
[PASS]      r1: Ping to r4 failed as expected
[PASS]      Test succeeded

[SUCCESS]   Tests passed: 10
