[ospf_adj]   Check OSPF adjacencies with DUT [ node(s): p ]
[PASS]       p: OSPFv2 neighbor 10.0.0.5 is in state Full/-
[PASS]       Test succeeded in 0.1 seconds

[ping_gw]    Pinging default gateway [ node(s): hr1,hb1 ]
[PASS]       hr1: Ping to 172.16.0.5 succeeded
[PASS]       hb1: Ping to 172.16.2.5 succeeded
[PASS]       Test succeeded in 2.2 seconds

[ping_cust]  End-to-end reachability in Customer VRF [ node(s): hr1 ]
[WAITING]    Waiting for EVPN route redistribution to work (retrying for 70 seconds)
[PASS]       hr1: Ping to hr2 (172.16.1.2) succeeded
[PASS]       Test succeeded in 15.4 seconds

[ping_other] End-to-end reachability in other VRF [ node(s): hb1 ]
[PASS]       hb1: Ping to hb2 (172.16.3.4) succeeded
[PASS]       Test succeeded in 1.1 seconds

[SUCCESS]    Tests passed: 5
