[valid_roles]    Check expected EBGP sessions [ node(s): upstream,customer,peer ]
[WAITING]        Waiting for EBGP session establishment (retrying for 30 seconds)
[PASS]           upstream: Neighbor 172.16.0.1 (dut) is in state Established
[PASS]           customer: Neighbor 172.16.1.1 (dut) is in state Established
[PASS]           peer: Neighbor 172.16.2.1 (dut) is in state Established
[PASS]           Test succeeded in 1.7 seconds

[session_good]   Check that the provider/customer strict-mode session is established [ node(s): good ]
[PASS]           good: Neighbor 172.16.4.1 (dut) is in state Established
[PASS]           Test succeeded in 0.1 seconds

[session_legacy] Check that the legacy session (no role on neighbor) is established [ node(s): legacy ]
[PASS]           legacy: Neighbor 172.16.5.1 (dut) is in state Established
[PASS]           Test succeeded in 0.1 seconds

[wait]           Wait a few seconds before checking the mismatched session
[WAITING]        Waiting for 5 seconds, 5 seconds left
[WAITING]        Waiting for 5 seconds, 0 seconds left

[session_bad]    Check that incompatible strict-mode roles prevent session establishment [ node(s): bad ]
[PASS]           bad: Neighbor 172.16.3.1 (dut) is in state Active
[PASS]           Test succeeded in 0.1 seconds

[adv_customer]   Check that the customer prefix is advertised to everyone [ node(s): good,peer,upstream,legacy ]
[PASS]           good: The prefix 172.16.2.1/32 is in the BGP table
[PASS]           peer: The prefix 172.16.2.1/32 is in the BGP table
[PASS]           upstream: The prefix 172.16.2.1/32 is in the BGP table
[PASS]           legacy: The prefix 172.16.2.1/32 is in the BGP table
[PASS]           Test succeeded in 0.4 seconds

[adv_good]       Check that the other customer prefix is advertised to everyone [ node(s): customer,peer,upstream,legacy ]
[PASS]           customer: The prefix 172.16.2.1/32 is in the BGP table
[PASS]           peer: The prefix 172.16.2.1/32 is in the BGP table
[PASS]           upstream: The prefix 172.16.2.1/32 is in the BGP table
[PASS]           legacy: The prefix 172.16.2.1/32 is in the BGP table
[PASS]           Test succeeded in 0.4 seconds

[adv_legacy]     Check that the legacy prefix is advertised to customers [ node(s): good,customer ]
[PASS]           good: The prefix 172.16.98.1/32 is in the BGP table
[PASS]           customer: The prefix 172.16.98.1/32 is in the BGP table
[PASS]           Test succeeded in 0.2 seconds

[adv_upstream]   Check that the upstream prefix is advertised to customers [ node(s): customer,good ]
[PASS]           customer: The prefix 172.16.4.1/32 is in the BGP table
[PASS]           good: The prefix 172.16.4.1/32 is in the BGP table
[PASS]           Test succeeded in 0.2 seconds

[blk_upstream]   Check that upstream prefix is not leaked to the peer session [ node(s): peer,legacy ]
[PASS]           peer: The prefix 172.16.4.1/32 is not in the BGP table
[PASS]           legacy: The prefix 172.16.4.1/32 is not in the BGP table
[PASS]           Test succeeded in 0.2 seconds

[blk_legacy]     Check that the legacy prefix is not advertised to peers or upstreams [ node(s): peer,upstream ]
[PASS]           peer: The prefix 172.16.97.1/32 is not in the BGP table
[PASS]           upstream: The prefix 172.16.97.1/32 is not in the BGP table
[PASS]           Test succeeded in 0.2 seconds

[SUCCESS]        Tests passed: 22
